"","miRNA_ID","logFC","logCPM","F","PValue","FDR","hip_Control_1.x","hip_Control_2.x","hip_Control_3.x","hip_PPCE_1.x","hip_PPCE_2.x","hip_PPCE_3.x","hip_Control_1.y","hip_Control_2.y","hip_Control_3.y","hip_PPCE_1.y","hip_PPCE_2.y","hip_PPCE_3.y"
"1","rno-miR-770-3p",0.835264750265612,7.04900431685883,21.457756903551,0.000490684328709652,0.0791964506537379,789,483,590,1587,1156,997,116.065254850589,77.4765231879609,87.3302464704369,198.163271229035,149.974667322616,153.586103228109
"2","rno-miR-3587",-0.638554935151122,8.21356746308605,22.6464315992346,0.000391371270008127,0.0791964506537379,2285,2483,2314,1735,1692,1661,336.13321588542,398.290283800635,342.512187004391,216.643525886815,219.513094385697,255.874139881534
"3","rno-miR-29b-3p",-0.638955280761296,8.21503497046345,22.6277455209796,0.000392740660760621,0.0791964506537379,2286,2486,2318,1735,1693,1664,336.280320137449,398.771504441554,343.104256471988,216.643525886815,219.642830257083,256.33628462545
"4","rno-miR-98-5p",-0.755457455975635,7.23657306444767,24.8961131062956,0.000260522489711296,0.0791964506537379,1083,1200,1411,813,861,772,159.313904947007,192.488256367605,208.852504694553,101.516534032266,111.702585263644,118.925247434403
"5","rno-miR-212-3p",-0.887431598596278,6.9256827829949,29.4307271176528,0.000123273726974355,0.0791964506537379,1001,912,1163,566,620,653,147.251356280659,146.29107483938,172.14419770359,70.6744874074568,80.4362402595343,100.593505925732
"6","rno-miR-873-5p",0.682315383858875,6.37668502213234,18.1395537825458,0.000966748577711983,0.0866851224681745,500,372,361,766,823,633,73.5521260143151,59.6713594739574,53.4342694505555,95.6478045125652,106.772622150962,97.5125409662919
"7","rno-miR-128-3p",0.381002325318644,14.6914469508832,19.8637551481466,0.000673458613216971,0.0866851224681745,161387,130887,163455,245501,242618,179726,23740.7139221446,20995.1753426556,24194.1787064835,30654.8716131061,31476.2576440124,27686.4754150202
"8","rno-miR-30e-5p",-0.393752235587999,12.7373135445078,18.3529679779693,0.000923381818808558,0.0866851224681745,48709,53087,51135,46667,44816,39372,7165.30101206255,8515.52005482252,7568.86805638269,5827.14894672047,5814.24281205047,6065.18761915457
"9","rno-miR-135b-5p",-0.945868251851809,6.07745598475321,19.5685771871313,0.000822891809388871,0.0866851224681745,517,611,573,270,299,401,76.0528982988019,98.008603867172,84.8139512331531,33.7139780918963,38.7910255445173,61.7733474367821
"10","rno-miR-351-5p",0.685040812898386,5.08392621299035,15.4819830693952,0.00176462476914488,0.140772207979992,191,138,156,312,334,233,28.0969121374684,22.1361494822745,23.0907092362511,38.9583746839691,43.3317810430394,35.8932417774818
"11","rno-miR-30a-5p",-0.331100278599856,14.2323197935092,15.1319758222356,0.00191882811372976,0.140772207979992,134489,146537,142024,141486,128690,108996,19783.9037510785,23505.5430194497,21022.01851647,17666.8737196668,16695.7092887088,16790.6428359588
"12","rno-miR-412-5p",1.04465241752725,5.23991643634339,15.0645051660341,0.00259517366079878,0.174525428688718,218,119,127,450,436,208,32.0687269422414,19.0884187564541,18.7982055961788,56.1899634864939,56.5648399244467,32.0420355781812
"13","rno-miR-708-3p",0.407996084068217,9.95859700362566,12.8793753117032,0.00338685779871681,0.21024571104342,5650,5460,5762,10213,7889,7140,831.139023961761,875.821566472601,852.876068072301,1275.26243797236,1023.48628936688,1099.90449052026
"14","rno-miR-409b",0.55579358012937,8.91353439148768,11.809029124124,0.00483464562135425,0.216753278690716,2908,2069,2746,5567,4358,2953,427.779164899257,331.881835353812,406.455689504779,695.132281620692,565.388927501694,454.90447626139
"15","rno-miR-409a-3p",0.555411815863429,8.9091982801406,11.8452467199452,0.00476701148630315,0.216753278690716,2895,2062,2744,5544,4346,2947,425.866809622885,330.758987191667,406.159654770981,692.260350153605,563.832097045058,453.980186773558
"16","rno-let-7g-5p",-0.289316104249644,14.0884010328742,12.2886392883143,0.00396705702774182,0.216753278690716,122776,119203,136980,128797,125225,95529,18060.8716470671,19120.9813531563,20275.4189178313,16082.4416159332,16246.1744943551,14716.0750805196
"17","rno-let-7b-5p",-0.355652741633168,10.7221751563738,11.9859003957436,0.00430885043360909,0.216753278690716,11734,11849,13878,11652,11563,9654,1726.12129330395,1900.66112474979,2054.18501782495,1454.94545454361,1500.13588084031,1487.18178592193
"18","rno-miR-26b-5p",-0.391540243425979,9.59671217892358,12.1894307412325,0.00407546590245439,0.216753278690716,6090,5429,5823,5223,4746,4784,895.864894854359,870.848953183105,861.905127453142,652.178176199906,615.726445599596,736.966818298168
"19","rno-miR-374-5p",-0.608439427398493,8.03106014068377,11.540512835229,0.00522077522581044,0.221745558275212,1561,2372,2231,1714,1704,1181,229.629737416692,380.485120086632,330.226745551771,214.021327590779,221.069924842333,181.930980854962
"20","rno-miR-1843b-5p",0.486207493965393,8.44049289352666,10.551213255512,0.00647773407048359,0.23439612670481,2142,1615,1951,3857,2996,2203,315.097307845326,259.057111694735,288.781882820038,481.610420372015,388.688670673492,339.368290282371
"21","rno-miR-127-3p",0.314261812233574,14.0562646105877,10.4714810280433,0.00663165420946862,0.23439612670481,112092,92352,96211,171056,134988,115487,16489.2098183932,14813.8962100509,14240.8988867241,21359.1786536571,17512.7858067,17790.5700135453
"22","rno-miR-103-3p",-0.372246790551648,11.8208149819877,10.7290101678468,0.00614925626450082,0.23439612670481,24386,27206,28940,23427,22763,23234,3587.28428997018,4364.02958561421,4283.62259805838,2925.24949910687,2953.17764036739,3579.15699338203
"23","rno-miR-16-5p",-0.401755274564824,8.80328691876329,10.1664002250194,0.00726134221514282,0.23439612670481,3072,3552,3356,2942,3111,2460,451.904262231952,569.76523884811,496.746283313197,367.357494616144,403.608295882921,378.958690011182
"24","rno-miR-29c-3p",-0.445114258609564,6.69134164638236,10.3933791379681,0.00678657673699238,0.23439612670481,782,741,788,648,675,578,115.035525086389,118.861498306996,116.637685116448,80.9135474205512,87.5717131857833,89.0398873278305
"25","rno-miR-582-5p",-0.641439393626561,4.74368498540297,14.0897359445819,0.00710263223456749,0.23439612670481,198,191,209,172,137,122,29.1266419016688,30.6377141385104,30.9356296819005,21.4770527103932,17.7738143799294,18.7938862525871
"26","rno-miR-3556b",-0.437438573563844,6.68475583848798,10.0314911431816,0.00756186673741109,0.234708709888106,779,737,779,647,674,577,114.594212330303,118.219870785771,115.305528814356,80.7886808350256,87.441977314397,88.8858390798585
"27","rno-miR-540-3p",0.617166446529848,5.05714706720674,9.84447787202188,0.0080027969742194,0.23919470956278,171,155,162,232,295,302,25.1548270968958,24.8630664474823,23.9788134376454,28.9690478419257,38.272082058972,46.5225708875516
"28","rno-miR-101b-3p",-0.341750312366312,11.3692671929056,9.56505819156758,0.00871878185554044,0.251287748479326,19803,19801,18736,18962,19978,13229,2913.10550292297,3176.21663694578,2773.25338622052,2367.72019473533,2591.86323855641,2037.90427242192
"29","rno-miR-101a-3p",-0.418914978119354,12.8420253541037,9.77281321935799,0.00973051019477319,0.270776611282137,56748,58144,50765,52445,56093,32630,8347.87209412071,9326.69764853167,7514.10163063005,6548.62807788705,7277.27423367429,5026.59433132718
"30","rno-miR-221-5p",-0.362657368320455,8.59964948863126,8.85017932120634,0.0109188099657114,0.275358738822784,3007,2907,2659,2596,2690,2208,442.342485850091,466.302801050522,393.578178584562,324.153656024307,348.98949402927,340.138531522231
"31","rno-miR-3065-5p",-0.501338699937112,7.6545333379183,8.8875151619893,0.0107889454876527,0.275358738822784,1494,1589,1531,1674,1157,886,219.773752530774,254.88653280677,226.614588722439,209.026664169757,150.104403194002,136.486747703214
"32","rno-miR-338-3p",-0.501338699937112,7.6545333379183,8.8875151619893,0.0107889454876527,0.275358738822784,1494,1589,1531,1674,1157,886,219.773752530774,254.88653280677,226.614588722439,209.026664169757,150.104403194002,136.486747703214
"33","rno-miR-484",1.2131388642353,3.0050218524256,8.94351179111085,0.0133497965545377,0.285009180784678,26,21,24,51,40,90,3.82471055274439,3.36854448643308,3.55241680557709,6.36819586180264,5.18943485545383,13.8643423174823
"34","rno-let-7c-5p",-0.263762207618387,12.4496768191442,8.25497657238119,0.0132577534379198,0.285009180784678,38299,38718,43614,41305,40697,31250,5633.94574844451,6210.63359170076,6455.62943993497,5157.61431513251,5279.86075781011,4814.00774912578
"35","rno-miR-29a-3p",-0.264486839055393,12.5326459287269,8.16142567406571,0.0136765271445689,0.285009180784678,42248,40828,44754,47353,39718,33007,6214.86043970557,6549.09210914713,6624.36923819989,5912.80742439099,5152.84933972288,5084.67052081263
"36","rno-miR-9a-3p",-0.264690332272919,11.531100492028,8.54989431945025,0.0120324870355626,0.285009180784678,21629,20882,21280,21035,21262,17384,3181.71786712724,3349.61647455693,3149.80956761169,2626.56862652978,2758.44409741648,2677.97474274568
"37","rno-miR-186-5p",-0.327640871290369,9.43504047666672,8.47578503966601,0.0123274455179294,0.285009180784678,4885,4940,5358,4687,5103,3828,718.604271159859,792.409988713306,793.077051845086,585.249686358215,662.042151684522,589.696693236912
"38","rno-miR-29c-5p",-0.45363250521441,7.5371340548266,8.14020180096761,0.0137736778817874,0.285009180784678,1188,1508,1489,1178,1097,1142,174.759851410013,241.893575501956,220.397859312679,147.092837749088,142.320250910821,175.923099184053
